,All,ISP,Google or Facebook
2,11.0,,11.0
5,1.0,,1.0
6,3.0,,3.0
9,3.0,,3.0
15,3.0,,3.0
18,3.0,3.0,
24,11.0,,11.0
26,1.0,,1.0
28,6.0,6.0,
29,3.0,,3.0
32,10.0,,10.0
33,1.0,,1.0
34,10.0,,10.0
37,7.0,7.0,
38,3.0,3.0,
39,3.0,,3.0
40,10.0,,10.0
41,5.0,5.0,
43,3.0,,3.0
44,10.0,,10.0
48,10.0,10.0,
50,1.0,,1.0
55,16.0,,16.0
56,3.0,,3.0
58,6.0,6.0,
59,4.0,4.0,
63,8.0,,8.0
68,3.0,,3.0
71,10.0,,10.0
73,13.0,,13.0
74,8.0,,8.0
75,1.0,,1.0
76,7.0,7.0,
77,8.0,,8.0
78,10.0,,10.0
79,4.0,4.0,
81,3.0,,3.0
82,3.0,,3.0
83,1.0,,1.0
85,5.0,5.0,
86,3.0,,3.0
88,3.0,,3.0
91,6.0,6.0,
92,14.0,,14.0
93,2.0,2.0,
94,6.0,6.0,
96,16.0,,16.0
97,8.0,,8.0
98,3.0,3.0,
100,14.0,,14.0
102,3.0,3.0,
104,3.0,,3.0
107,5.0,5.0,
108,3.0,,3.0
109,3.0,,3.0
111,3.0,,3.0
