,Total
0,0.009197777241353833
1,0.007553120039282574
2,0.00765024392484277
3,0.007480061099617014
4,0.008276586764065752
5,0.008218683471070187
6,0.007336990495322106
7,0.006646712589180001
8,0.009580962409805386
9,0.007641074834729852
10,0.008656904398112591
11,0.006482905656820134
12,0.007745237175627815
13,0.006417905850216516
14,0.007917261860902365
15,0.007636180244060958
16,0.007848593350657755
17,0.008245097554079978
18,0.008186638890340778
19,0.009256424833890366
20,0.007824618232147957
21,0.007498160816291703
22,0.007743174705700758
23,0.009063343408301025
24,0.008462813260592237
25,0.009019580543598846
26,0.008805171532433657
27,0.007289282168551676
28,0.008341621282126272
29,0.008700784782714192
30,0.008331926321977108
31,0.008109977964914592
32,0.008074738353607586
33,0.0076958801257403335
34,0.00913420251158473
35,0.0070715301000584575
36,0.008807695921155441
37,0.008322565349756735
38,0.007193110668057116
39,0.009023045216298058
40,0.007026939776683472
41,0.008392210519984344
42,0.007620487868398173
43,0.0067879554579124805
44,0.006948843726258451
45,0.005931670729099521
46,0.00966896396316599
47,0.008887913013463622
48,0.007993330493249805
49,0.008184802496361408
50,0.006860204862034147
51,0.008030975006249602
52,0.008121541318894088
53,0.008099117782853507
54,0.008172256082984641
55,0.00865590195585193
56,0.008599313542444281
57,0.007362397514443272
58,0.008462275315304413
59,0.00845401961391776
60,0.0068842321473874535
61,0.008114365719715525
62,0.007440112897603273
63,0.008319979948716853
64,0.006564662192378696
65,0.007406607137231043
66,0.009033715384138545
67,0.006373073877114046
68,0.009136675988626414
69,0.008833800150735888
70,0.009060555416066573
71,0.00819352536616608
72,0.008332544516557681
73,0.007363541166851279
74,0.008742433418450624
75,0.008130594192537394
76,0.006871286716810044
77,0.007712844568132671
78,0.008479896217344221
79,0.009233454316262076
80,0.007677606050648736
81,0.007260958930239401
82,0.006805397344538925
83,0.008749112419790168
84,0.00823328197015618
85,0.008147659472678231
86,0.008281335115035147
87,0.00846167604296972
88,0.007763560536841761
89,0.00611121175524297
90,0.006845436439411199
91,0.007365185107450791
92,0.006983826468544069
93,0.005976123471992821
