Participant City,Participant Country,Connection,IPv,Destination,Destination IP,Destination Hostname,Destination ASN,Destination City,Destination Country,Trace Hop Count,Hop 1 IP,Hop 1 Hostname,Hop 1 RTT,Hop 1 ASN,Hop 1 City,Hop 1 Country,Hop 2 IP,Hop 2 Hostname,Hop 2 RTT,Hop 2 ASN,Hop 2 City,Hop 2 Country,Hop 3 IP,Hop 3 Hostname,Hop 3 RTT,Hop 3 ASN,Hop 3 City,Hop 3 Country,Hop 4 IP,Hop 4 Hostname,Hop 4 RTT,Hop 4 ASN,Hop 4 City,Hop 4 Country,Hop 5 IP,Hop 5 Hostname,Hop 5 RTT,Hop 5 ASN,Hop 5 City,Hop 5 Country,Hop 6 IP,Hop 6 Hostname,Hop 6 RTT,Hop 6 ASN,Hop 6 City,Hop 6 Country,Hop 7 IP,Hop 7 Hostname,Hop 7 RTT,Hop 7 ASN,Hop 7 City,Hop 7 Country,Hop 8 IP,Hop 8 Hostname,Hop 8 RTT,Hop 8 ASN,Hop 8 City,Hop 8 Country,Hop 9 IP,Hop 9 Hostname,Hop 9 RTT,Hop 9 ASN,Hop 9 City,Hop 9 Country,Hop 10 IP,Hop 10 Hostname,Hop 10 RTT,Hop 10 ASN,Hop 10 City,Hop 10 Country,Hop 11 IP,Hop 11 Hostname,Hop 11 RTT,Hop 11 ASN,Hop 11 City,Hop 11 Country,Hop 12 IP,Hop 12 Hostname,Hop 12 RTT,Hop 12 ASN,Hop 12 City,Hop 12 Country,Hop 13 IP,Hop 13 Hostname,Hop 13 RTT,Hop 13 ASN,Hop 13 City,Hop 13 Country,Hop 14 IP,Hop 14 Hostname,Hop 14 RTT,Hop 14 ASN,Hop 14 City,Hop 14 Country,Hop 15 IP,Hop 15 Hostname,Hop 15 RTT,Hop 15 ASN,Hop 15 City,Hop 15 Country,Hop 16 IP,Hop 16 Hostname,Hop 16 RTT,Hop 16 ASN,Hop 16 City,Hop 16 Country,Hop 17 IP,Hop 17 Hostname,Hop 17 RTT,Hop 17 ASN,Hop 17 City,Hop 17 Country,Hop 18 IP,Hop 18 Hostname,Hop 18 RTT,Hop 18 ASN,Hop 18 City,Hop 18 Country,Hop 19 IP,Hop 19 Hostname,Hop 19 RTT,Hop 19 ASN,Hop 19 City,Hop 19 Country
vancouver,canada,wifi,4,www.instagram.com,209.52.156.97,Unknown,AS852 TELUS Communications Inc.,Vancouver,Canada,4,192.168.1.254,Unknown,0.885,,,,10.27.162.1,Unknown,3.303,,,,96.1.213.244,Unknown,3.411,,Burnaby,Canada,209.52.143.227,m227.aaa.bbb.ccc.bctel.net,1.586,AS852 TELUS Communications Inc.,Vancouver,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berlin,germany,wifi,6,www.instagram.com,2a01:860:1000:4:face:b00c:3333:a3f,Unknown,AS3209 Vodafone GmbH,Düsseldorf,Germany,7,2a02:8109:92c0:fb8:3631:c4ff:fef2:bf2c,Unknown,1.443,AS31334 Vodafone Deutschland GmbH,Berlin,Germany,2a02:8109:8001:25::1,Unknown,13.753,AS31334 Vodafone Deutschland GmbH,Unterföhring,Germany,2a02:8109:8001:25::1,Unknown,12.994,AS31334 Vodafone Deutschland GmbH,Unterföhring,Germany,2a02:8100:6:2::103:11,Unknown,16.795,AS3209 Vodafone GmbH,Unterföhring,Germany,,,,,,,2a01:860:2000::d,Unknown,14.063,AS3209 Vodafone GmbH,Düsseldorf,Germany,2a01:860:2000::e,Unknown,13.59,AS3209 Vodafone GmbH,Düsseldorf,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brighton,uk,wifi,4,www.instagram.com,157.240.1.52,Unknown,"AS32934 Facebook, Inc.",London,United Kingdom,11,192.168.1.1,Unknown,1.45,,,,192.168.0.1,Unknown,3.077,,,,,,,,,,80.3.64.89,brig-core-2a-xe-804-0.network.virginmedia.net,16.159,AS5089 Virgin Media Limited,Brighton,United Kingdom,,,,,,,62.253.174.174,telw-ic-1-ae0-0.network.virginmedia.net,18.904,AS5089 Virgin Media Limited,London,United Kingdom,157.240.65.124,ae13.pr04.lhr3.tfbnw.net,13.498,"AS32934 Facebook, Inc.",New York City,United States,31.13.31.100,po141.asw02.lhr6.tfbnw.net,14.439,"AS32934 Facebook, Inc.",Moscow,Russia,157.240.40.127,Unknown,24.239,"AS32934 Facebook, Inc.",Washington,United States,173.252.67.3,Unknown,16.253,"AS32934 Facebook, Inc.",Menlo Park,United States,157.240.1.52,Unknown,13.995,"AS32934 Facebook, Inc.",London,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambridge,canada,wifi,4,www.instagram.com,76.10.130.224,76-10-130-224.dsl.teksavvy.com,"AS5645 TekSavvy Solutions, Inc.",Toronto,Canada,6,192.168.0.1,Unknown,2.745,,,,,,,,,,104.195.128.70,Unknown,17.984,"AS5645 TekSavvy Solutions, Inc.",Toronto,Canada,104.195.128.213,kitchener.tsi-rcable.tor2.teksavvy.com,15.393,"AS5645 TekSavvy Solutions, Inc.",Toronto,Canada,206.248.155.92,ae10-0-bdr01-tor2.teksavvy.com,21.985,"AS5645 TekSavvy Solutions, Inc.",Toronto,Canada,192.171.60.214,192-171-60-214.cpe.pppoe.ca,15.04,"AS5645 TekSavvy Solutions, Inc.",Toronto,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
santiago,chile,wifi,4,www.youtube.com,186.10.138.80,z279.entelchile.net,AS27986 ENTEL CHILE S.A.,Santiago,Chile,5,10.0.0.1,Unknown,1.99,,,,192.168.100.1,Unknown,2.719,,,,186.67.248.20,Unknown,5.365,AS6471 ENTEL CHILE S.A.,Santiago,Chile,172.31.213.26,Unknown,7.503,,,,172.31.198.174,Unknown,14.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
london,uk,4g,4,www.youtube.com,173.194.139.10,Unknown,AS15169 Google LLC,Mountain View,United States,1,172.20.10.1,Unknown,16.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
london,uk,4g,4,www.youtube.com,173.194.139.10,Unknown,AS15169 Google LLC,Mountain View,United States,3,172.20.10.1,Unknown,3.69,,,,,,,,,,172.20.197.5,Unknown,75.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokyo,japan,4g,4,www.youtube.com,49.98.24.80,Unknown,"AS9605 NTT DOCOMO, INC.",Tokyo,Japan,2,172.20.10.1,Unknown,272.724,,,,172.20.138.65,Unknown,168.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valencia,spain,4g,4,www.youtube.com,173.194.139.138,Unknown,AS15169 Google LLC,Mountain View,United States,16,192.168.43.163,Unknown,2.484,,,,,,,,,,10.22.60.109,Unknown,49.719,,,,10.22.60.110,Unknown,28.376,,,,,,,,,,10.25.64.161,Unknown,112.343,,,,,,,,,,172.30.84.241,Unknown,100.302,,,,,,,,,,,,,,,,,,,,,,72.14.211.154,Unknown,239.76,AS15169 Google LLC,Mountain View,United States,,,,,,,,,,,,,,,,,,,72.14.211.154,Unknown,115.366,AS15169 Google LLC,Mountain View,United States,,,,,,,,,,,,,,,,,,
bourneend,uk,4g,4,www.instagram.com,157.240.1.52,Unknown,"AS32934 Facebook, Inc.",London,United Kingdom,3,172.20.10.1,Unknown,0.642,,,,,,,,,,172.20.37.1,Unknown,39.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
